name,inChampions,num,accuracy,basePower,category,pp,priority,flags,boosts,target,type,zMove,contestType,desc,shortDesc,critRatio,isZ,isNonstandard,drain,secondary,basePowerCallback,condition,volatileStatus,self,multihit,callsMove,sideCondition,hasCrashDamage,stallingMove,selfSwitch,ignoreImmunity,overrideOffensiveStat,maxMove,recoil,weather,ignoreEvasion,ignoreDefensive,forceSwitch,selfBoost,nonGhostTarget,status,smartTarget,damage,terrain,hasSheerForceBoost,selfdestruct,pseudoWeather,onDamagePriority,breaksProtect,secondaries,ohko,willCrit,overrideOffensivePokemon,isMax,ignoreAbility,slotCondition,heal,realMove,thawsTarget,mindBlownRecoil,multiaccuracy,overrideDefensiveStat,noPPBoosts,sleepUsable,tracksTarget,stealsBoosts,struggleRecoil
Aeroblast,,177,95,100,Special,5,0,"{'protect': 1, 'mirror': 1, 'distance': 1, 'metronome': 1, 'wind': 1}",,any,Flying,,Cool,Has a higher chance for a critical hit.,High critical hit ratio.,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
After You,,495,TRUE,0,Status,15,0,"{'bypasssub': 1, 'allyanim': 1}",,normal,Normal,{'boost': {'spe': 1}},Cute,"The target makes its move immediately after the user this turn, no matter the priority of its selected move. Fails if the target would have moved next anyway, or if the target already moved this turn.",The target makes its move right after the user.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agility,,97,TRUE,0,Status,30,0,"{'snatch': 1, 'metronome': 1}",{'spe': 2},self,Psychic,{'effect': 'clearnegativeboost'},Cool,Raises the user's Speed by 2 stages.,Raises the user's Speed by 2.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Air Cutter,,314,95,60,Special,25,0,"{'protect': 1, 'mirror': 1, 'metronome': 1, 'slicing': 1, 'wind': 1}",,allAdjacentFoes,Flying,,Cool,Has a higher chance for a critical hit.,High critical hit ratio. Hits adjacent foes.,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Air Slash,,403,95,75,Special,15,0,"{'protect': 1, 'mirror': 1, 'distance': 1, 'metronome': 1, 'slicing': 1}",,any,Flying,,Cool,Has a 30% chance to make the target flinch.,30% chance to make the target flinch.,,,,,"{'chance': 30, 'volatileStatus': 'flinch'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All-Out Pummeling,,624,TRUE,1,Physical,1,0,{},,normal,Fighting,,Cool,Power is equal to the base move's Z-Power.,Power is equal to the base move's Z-Power.,,fightiniumz,Past,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alluring Voice,,914,100,80,Special,10,0,"{'protect': 1, 'mirror': 1, 'sound': 1, 'bypasssub': 1, 'metronome': 1}",,normal,Fairy,,,Has a 100% chance to confuse the target if it had a stat stage raised this turn.,100% confuse target that had a stat rise this turn.,,,,,{'chance': 100},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ally Switch,,502,TRUE,0,Status,15,2,{'metronome': 1},,self,Psychic,{'boost': {'spe': 2}},Clever,"The user swaps positions with its ally. Fails if the user is the only Pokemon on its side. This move has a 1/X chance of being successful, where X starts at 1 and triples each time this move is successfully used. X resets to 1 if this move fails or if the user's last move used is not Ally Switch.",User and ally swap positions; using again can fail.,,,,,,,"{'duration': 2, 'counterMax': 729}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amnesia,,133,TRUE,0,Status,20,0,"{'snatch': 1, 'metronome': 1}",{'spd': 2},self,Psychic,{'effect': 'clearnegativeboost'},Cute,Raises the user's Special Defense by 2 stages.,Raises the user's Sp. Def by 2.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anchor Shot,,677,100,80,Physical,20,0,"{'contact': 1, 'protect': 1, 'mirror': 1, 'metronome': 1}",,normal,Steel,,Tough,"Prevents the target from switching out. The target can still switch out if it is holding Shed Shell or uses Baton Pass, Flip Turn, Parting Shot, Teleport, U-turn, or Volt Switch. The effect ends if either the user or the target leaves the field.",Prevents the target from switching out.,,,Past,,{'chance': 100},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ancient Power,,246,100,60,Special,5,0,"{'protect': 1, 'mirror': 1, 'metronome': 1}",,normal,Rock,,Tough,"Has a 10% chance to raise the user's Attack, Defense, Special Attack, Special Defense, and Speed by 1 stage.",10% chance to raise all stats by 1 (not acc/eva).,,,,,"{'chance': 10, 'self': {'boosts': {'atk': 1, 'def': 1, 'spa': 1, 'spd': 1, 'spe': 1}}}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apple Acid,,787,100,80,Special,10,0,"{'protect': 1, 'mirror': 1}",,normal,Grass,,,Has a 100% chance to lower the target's Special Defense by 1 stage.,100% chance to lower the target's Sp. Def by 1.,,,,,"{'chance': 100, 'boosts': {'spd': -1}}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aqua Cutter,,895,100,70,Physical,20,0,"{'protect': 1, 'mirror': 1, 'metronome': 1, 'slicing': 1}",,normal,Water,,Cool,Has a higher chance for a critical hit.,High critical hit ratio.,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aqua Jet,,453,100,40,Physical,20,1,"{'contact': 1, 'protect': 1, 'mirror': 1, 'metronome': 1}",,normal,Water,,Cool,No additional effect.,Usually goes first.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aqua Ring,,392,TRUE,0,Status,20,0,"{'snatch': 1, 'metronome': 1}",,self,Water,{'boost': {'def': 1}},Beautiful,"The user has 1/16 of its maximum HP, rounded down, restored at the end of each turn while it remains active. If Big Root is held by the user, the HP recovered is 1.3x normal, rounded half down. If the user uses Baton Pass, the replacement will receive the healing effect.",User recovers 1/16 max HP per turn.,,,,,,,{'onResidualOrder': 6},aquaring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aqua Step,,872,100,80,Physical,10,0,"{'contact': 1, 'protect': 1, 'mirror': 1, 'dance': 1, 'metronome': 1}",,normal,Water,,Cool,Has a 100% chance to raise the user's Speed by 1 stage.,100% chance to raise the user's Speed by 1.,,,,,"{'chance': 100, 'self': {'boosts': {'spe': 1}}}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aqua Tail,,401,90,90,Physical,10,0,"{'contact': 1, 'protect': 1, 'mirror': 1, 'metronome': 1}",,normal,Water,,Beautiful,No additional effect.,No additional effect.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armor Cannon,,890,100,120,Special,5,0,"{'protect': 1, 'mirror': 1}",,normal,Fire,,,Lowers the user's Defense and Special Defense by 1 stage.,Lowers the user's Defense and Sp. Def by 1.,,,,,,,,,"{'boosts': {'def': -1, 'spd': -1}}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arm Thrust,,292,100,15,Physical,20,0,"{'contact': 1, 'protect': 1, 'mirror': 1, 'metronome': 1}",,normal,Fighting,,Tough,"Hits two to five times. Has a 35% chance to hit two or three times and a 15% chance to hit four or five times. If one of the hits breaks the target's substitute, it will take damage for the remaining hits. If the user has the Skill Link Ability, this move will always hit five times. If the user is holding Loaded Dice, this move will hit 4-5 times.",Hits 2-5 times in one turn.,,,,,,,,,,"[2, 5]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aromatherapy,,312,TRUE,0,Status,5,0,"{'snatch': 1, 'distance': 1, 'metronome': 1}",,allyTeam,Grass,{'effect': 'heal'},Clever,"Every Pokemon in the user's party is cured of its non-volatile status condition. Active Pokemon with the Sap Sipper Ability are not cured, unless they are the user.",Cures the user's party of all status conditions.,,,Past,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aromatic Mist,,597,TRUE,0,Status,20,0,"{'bypasssub': 1, 'metronome': 1}",{'spd': 1},adjacentAlly,Fairy,{'boost': {'spd': 2}},Beautiful,Raises the target's Special Defense by 1 stage. Fails if there is no ally adjacent to the user.,Raises an ally's Sp. Def by 1.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assist,,274,TRUE,0,Status,20,0,"{'failencore': 1, 'nosleeptalk': 1, 'noassist': 1, 'failcopycat': 1, 'failmimic': 1, 'failinstruct': 1}",,self,Normal,,Cute,"A random move among those known by the user's party members is selected for use. Does not select Assist, Baneful Bunker, Beak Blast, Belch, Bestow, Blazing Torque, Bounce, Celebrate, Chatter, Circle Throw, Combat Torque, Copycat, Counter, Covet, Destiny Bond, Detect, Dig, Dive, Dragon Tail, Endure, Feint, Fly, Focus Punch, Follow Me, Helping Hand, Hold Hands, King's Shield, Magical Torque, Mat Block, Me First, Metronome, Mimic, Mirror Coat, Mirror Move, Nature Power, Noxious Torque, Phantom Force, Protect, Rage Powder, Roar, Shadow Force, Shell Trap, Sketch, Sky Drop, Sleep Talk, Snatch, Spiky Shield, Spotlight, Struggle, Switcheroo, Tera Starstorm, Thief, Transform, Trick, Whirlwind, or Wicked Torque.",Uses a random move known by a team member.,,,Past,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assurance,,372,100,60,Physical,10,0,"{'contact': 1, 'protect': 1, 'mirror': 1, 'metronome': 1}",,normal,Dark,,Clever,"Power doubles if the target has already taken damage this turn, other than direct damage from Belly Drum, confusion, Curse, or Pain Split.",Power doubles if target was damaged this turn.,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Astonish,,310,100,30,Physical,15,0,"{'contact': 1, 'protect': 1, 'mirror': 1, 'metronome': 1}",,normal,Ghost,,Cute,Has a 30% chance to make the target flinch.,30% chance to make the target flinch.,,,,,"{'chance': 30, 'volatileStatus': 'flinch'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Astral Barrage,,825,100,120,Special,5,0,"{'protect': 1, 'mirror': 1}",,allAdjacentFoes,Ghost,,,No additional effect.,No additional effect. Hits adjacent foes.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Attack Order,,454,100,90,Physical,15,0,"{'protect': 1, 'mirror': 1, 'metronome': 1}",,normal,Bug,,Clever,Has a higher chance for a critical hit.,High critical hit ratio.,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Attract,,213,100,0,Status,15,0,"{'protect': 1, 'reflectable': 1, 'mirror': 1, 'bypasssub': 1, 'metronome': 1}",,normal,Normal,{'effect': 'clearnegativeboost'},Cute,"Causes the target to become infatuated, making it unable to attack 50% of the time. Fails if both the user and the target are the same gender, if either is genderless, or if the target is already infatuated. The effect ends when either the user or the target is no longer active. Pokemon with the Oblivious Ability or protected by the Aroma Veil Ability are immune.",A target of the opposite gender gets infatuated.,,,,,,,"{'noCopy': True, 'onBeforeMovePriority': 2}",attract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aura Sphere,,396,TRUE,80,Special,20,0,"{'protect': 1, 'mirror': 1, 'distance': 1, 'metronome': 1, 'bullet': 1, 'pulse': 1}",,any,Fighting,,Beautiful,This move does not check accuracy.,This move does not check accuracy.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aura Wheel,,783,100,110,Physical,10,0,"{'protect': 1, 'mirror': 1}",,normal,Electric,,,"Has a 100% chance to raise the user's Speed by 1 stage. If the user is a Morpeko in Full Belly Mode, this move is Electric type. If the user is a Morpeko in Hangry Mode, this move is Dark type. This move cannot be used successfully unless the user's current form, while considering Transform, is Full Belly or Hangry Mode Morpeko.",Morpeko: Electric; Hangry: Dark; 100% +1 Spe.,,,,,"{'chance': 100, 'self': {'boosts': {'spe': 1}}}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aurora Beam,,62,100,65,Special,20,0,"{'protect': 1, 'mirror': 1, 'metronome': 1}",,normal,Ice,,Beautiful,Has a 10% chance to lower the target's Attack by 1 stage.,10% chance to lower the target's Attack by 1.,,,,,"{'chance': 10, 'boosts': {'atk': -1}}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aurora Veil,,694,TRUE,0,Status,20,0,"{'snatch': 1, 'metronome': 1}",,allySide,Ice,{'boost': {'spe': 1}},Beautiful,"For 5 turns, the user and its party members take 0.5x damage from physical and special attacks, or 0.66x damage if in a Double Battle; does not reduce damage further with Reflect or Light Screen. Critical hits ignore this protection. It is removed from the user's side if the user or an ally is successfully hit by Brick Break, Psychic Fangs, or Defog. Brick Break and Psychic Fangs remove the effect before damage is calculated. Lasts for 8 turns if the user is holding Light Clay. Fails unless the weather is Snow.","For 5 turns, damage to allies halved. Snow only.",,,,,,,"{'duration': 5, 'onSideResidualOrder': 26, 'onSideResidualSubOrder': 10}",,,,,auroraveil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Autotomize,,475,TRUE,0,Status,15,0,"{'snatch': 1, 'metronome': 1}",{'spe': 2},self,Steel,{'effect': 'clearnegativeboost'},Beautiful,"Raises the user's Speed by 2 stages. If the user's Speed was changed, the user's weight is reduced by 100 kg as long as it remains active. This effect is stackable but cannot reduce the user's weight to less than 0.1 kg.",Raises the user's Speed by 2; user loses 100 kg.,,,Past,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avalanche,,419,100,60,Physical,10,-4,"{'contact': 1, 'protect': 1, 'mirror': 1, 'metronome': 1}",,normal,Ice,,Beautiful,Power doubles if the user was hit by the target this turn.,Power doubles if user is damaged by the target.,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Axe Kick,,853,90,120,Physical,10,0,"{'contact': 1, 'protect': 1, 'mirror': 1, 'metronome': 1}",,normal,Fighting,,,"Has a 30% chance to confuse the target. If this attack is not successful, the user loses half of its maximum HP, rounded down, as crash damage. Pokemon with the Magic Guard Ability are unaffected by crash damage.",30% confusion. User loses 50% max HP if miss.,,,,,"{'chance': 30, 'volatileStatus': 'confusion'}",,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baby-Doll Eyes,,608,100,0,Status,30,1,"{'protect': 1, 'reflectable': 1, 'mirror': 1, 'allyanim': 1, 'metronome': 1}",{'atk': -1},normal,Fairy,{'boost': {'def': 1}},Cute,Lowers the target's Attack by 1 stage.,Lowers the target's Attack by 1.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baddy Bad,,737,95,80,Special,15,0,"{'protect': 1, 'mirror': 1}",,normal,Dark,,Clever,This move summons Reflect for 5 turns upon use.,Summons Reflect.,,,LGPE,,,,,,{'sideCondition': 'reflect'},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baneful Bunker,,661,TRUE,0,Status,10,4,"{'noassist': 1, 'failcopycat': 1}",,self,Poison,{'boost': {'def': 1}},Tough,"The user is protected from most attacks made by other Pokemon during this turn, and Pokemon making contact with the user become poisoned. This move has a 1/X chance of being successful, where X starts at 1 and triples each time this move is successfully used. X resets to 1 if this move fails, if the user's last move used is not Baneful Bunker, Burning Bulwark, Detect, Endure, King's Shield, Max Guard, Obstruct, Protect, Quick Guard, Silk Trap, Spiky Shield, or Wide Guard, or if it was one of those moves and the user's protection was broken. Fails if the user moves last this turn.",Protects from moves. Contact: poison.,,,,,,,"{'duration': 1, 'onTryHitPriority': 3}",banefulbunker,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barb Barrage,,839,100,60,Physical,10,0,"{'protect': 1, 'mirror': 1, 'metronome': 1}",,normal,Poison,,,Has a 50% chance to poison the target. Power doubles if the target is already poisoned.,50% psn. 2x power if target already poisoned.,,,,,"{'chance': 50, 'status': 'psn'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barrage,,140,85,15,Physical,20,0,"{'protect': 1, 'mirror': 1, 'metronome': 1, 'bullet': 1}",,normal,Normal,,Cute,"Hits two to five times. Has a 35% chance to hit two or three times and a 15% chance to hit four or five times. If one of the hits breaks the target's substitute, it will take damage for the remaining hits. If the user has the Skill Link Ability, this move will always hit five times.",Hits 2-5 times in one turn.,,,Past,,,,,,,"[2, 5]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barrier,,112,TRUE,0,Status,20,0,"{'snatch': 1, 'metronome': 1}",{'def': 2},self,Psychic,{'effect': 'clearnegativeboost'},Cool,Raises the user's Defense by 2 stages.,Raises the user's Defense by 2.,,,Past,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baton Pass,,226,TRUE,0,Status,40,0,{'metronome': 1},,self,Normal,{'effect': 'clearnegativeboost'},Cute,"The user is replaced with another Pokemon in its party. The selected Pokemon has the user's stat stage changes transferred to it, as well as the effects of confusion, Aqua Ring, Curse, Dragon Cheer, Embargo, Focus Energy, Gastro Acid, Heal Block, Ingrain, Leech Seed, Lock-On (Mind Reader), Magnet Rise, Perish Song, Power Trick, Telekinesis, and a substitute with its remaining HP. The effect of Gastro Acid is not transferred if the recipient has an Ability that cannot be affected.","User switches, passing stat changes and more.",,,,,,,,,{},,,,,,copyvolatile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beak Blast,,690,100,100,Physical,15,-3,"{'protect': 1, 'failmefirst': 1, 'nosleeptalk': 1, 'noassist': 1, 'failcopycat': 1, 'failinstruct': 1, 'bullet': 1}",,normal,Flying,,Tough,"If the user is hit by a contact move this turn before it can execute this move, the attacker is burned.",Burns on contact with the user before it moves.,,,,,,,{'duration': 1},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beat Up,,251,100,0,Physical,10,0,"{'protect': 1, 'mirror': 1, 'allyanim': 1, 'metronome': 1}",,normal,Dark,,Clever,"Hits one time for the user and one time for each unfainted Pokemon without a non-volatile status condition in the user's party. The power of each hit is equal to 5+(X/10), where X is each participating Pokemon's base Attack; each hit is considered to come from the user.",All healthy allies aid in damaging the target.,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Behemoth Bash,,782,100,100,Physical,5,0,"{'contact': 1, 'protect': 1, 'mirror': 1, 'failcopycat': 1, 'failmimic': 1}",,normal,Steel,,,No additional effect.,No additional effect.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Behemoth Blade,,781,100,100,Physical,5,0,"{'contact': 1, 'protect': 1, 'mirror': 1, 'failcopycat': 1, 'failmimic': 1, 'slicing': 1}",,normal,Steel,,,No additional effect.,No additional effect.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belch,,562,90,120,Special,10,0,"{'protect': 1, 'failmefirst': 1, 'nosleeptalk': 1, 'noassist': 1, 'failcopycat': 1, 'failmimic': 1, 'failinstruct': 1}",,normal,Poison,,Tough,"This move cannot be selected until the user eats a Berry, either by eating one that was held, stealing and eating one off another Pokemon with Bug Bite or Pluck, or eating one that was thrown at it with Fling. Once the condition is met, this move can be selected and used for the rest of the battle even if the user gains or uses another item or switches out. Consuming a Berry with Natural Gift does not count for the purposes of eating one.",Cannot be selected until the user eats a Berry.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belly Drum,,187,TRUE,0,Status,10,0,"{'snatch': 1, 'metronome': 1}",,self,Normal,{'effect': 'heal'},Cute,"Raises the user's Attack by 12 stages in exchange for the user losing 1/2 of its maximum HP, rounded down. Fails if the user would faint or if its Attack stat stage is 6.",User loses 50% max HP. Maximizes Attack.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bestow,,516,TRUE,0,Status,15,0,"{'mirror': 1, 'bypasssub': 1, 'allyanim': 1, 'noassist': 1, 'failcopycat': 1}",,normal,Normal,{'boost': {'spe': 2}},Cute,"The target receives the user's held item. Fails if the user has no item or is holding a Mail or Z-Crystal, if the target is already holding an item, if the user is a Kyogre holding a Blue Orb, a Groudon holding a Red Orb, a Giratina holding a Griseous Orb, an Arceus holding a Plate, a Genesect holding a Drive, a Silvally holding a Memory, a Pokemon that can Mega Evolve holding the Mega Stone for its species, or if the target is one of those Pokemon and the user is holding the respective item.",User passes its held item to the target.,,,Past,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bide,,117,TRUE,0,Physical,10,1,"{'contact': 1, 'protect': 1, 'metronome': 1, 'nosleeptalk': 1, 'failinstruct': 1}",,self,Normal,,Tough,"The user spends two turns locked into this move and then, on the second turn after using this move, the user attacks the last Pokemon that hit it, inflicting double the damage in HP it lost to attacks during the two turns. If the last Pokemon that hit it is no longer active, the user attacks a random opposing Pokemon instead. If the user is prevented from moving during this move's use, the effect ends. This move does not check accuracy and does not ignore type immunity.",Waits 2 turns; deals double the damage taken.,,,Past,,,,"{'duration': 3, 'onLockMove': 'bide', 'onDamagePriority': -101}",bide,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bind,,20,85,15,Physical,20,0,"{'contact': 1, 'protect': 1, 'mirror': 1, 'metronome': 1}",,normal,Normal,,Tough,"Prevents the target from switching for four or five turns (seven turns if the user is holding Grip Claw). Causes damage to the target equal to 1/8 of its maximum HP (1/6 if the user is holding Binding Band), rounded down, at the end of each turn during effect. The target can still switch out if it is holding Shed Shell or uses Baton Pass, Flip Turn, Parting Shot, Shed Tail, Teleport, U-turn, or Volt Switch. The effect ends if either the user or the target leaves the field, or if the target uses Mortal Spin, Rapid Spin, or Substitute successfully. This effect is not stackable or reset by using this or another binding move.",Traps and damages the target for 4-5 turns.,,,,,,,,partiallytrapped,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bite,,44,100,60,Physical,25,0,"{'contact': 1, 'protect': 1, 'mirror': 1, 'metronome': 1, 'bite': 1}",,normal,Dark,,Tough,Has a 30% chance to make the target flinch.,30% chance to make the target flinch.,,,,,"{'chance': 30, 'volatileStatus': 'flinch'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bitter Blade,,891,100,90,Physical,10,0,"{'contact': 1, 'protect': 1, 'mirror': 1, 'heal': 1, 'metronome': 1, 'slicing': 1}",,normal,Fire,,,"The user recovers 1/2 the HP lost by the target, rounded half up. If Big Root is held by the user, the HP recovered is 1.3x normal, rounded half down.",User recovers 50% of the damage dealt.,,,,"[1, 2]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
