,num,name,ID,type1,type2,genderRatio,baseHP,baseAtt,baseDef,baseSpA,baseSpD,baseSpe,baseStats,abilities,heightm,weightkg,color,evos,eggGroups,tier,prevo,evoLevel,otherFormes,formeOrder,canGigantamax,baseSpecies,forme,requiredItem,isNonstandard,changesFrom,evoCondition,evoType,gender,gen,evoItem,evoRegion,mother,canHatch,evoMove,tags,baseForme,cosmeticFormes,maxHP,requiredAbility,battleOnly,requiredMove,isCosmeticForme,requiredItems,cannotDynamax,requiredTeraType
charizardgmax,6,Charizard-Gmax,0006_charizard-gmax,"['Fire', 'Flying']",,"{'M': 0.875, 'F': 0.125}",,,,,,,"{'hp': 78, 'atk': 84, 'def': 78, 'spa': 109, 'spd': 85, 'spe': 100}","{'0': 'Blaze', 'H': 'Solar Power'}",28,0,Red,,"['Monster', 'Dragon']",Illegal,,,,,,Charizard,Gmax,,Past,Charizard,,,,,,,,,,,,,,,,,,,,
squirtle,7,Squirtle,0007_squirtle,['Water'],,"{'M': 0.875, 'F': 0.125}",,,,,,,"{'hp': 44, 'atk': 48, 'def': 65, 'spa': 50, 'spd': 64, 'spe': 43}","{'0': 'Torrent', 'H': 'Rain Dish'}",0.5,9,Blue,['Wartortle'],"['Monster', 'Water 1']",LC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wartortle,8,Wartortle,0008_wartortle,['Water'],,"{'M': 0.875, 'F': 0.125}",,,,,,,"{'hp': 59, 'atk': 63, 'def': 80, 'spa': 65, 'spd': 80, 'spe': 58}","{'0': 'Torrent', 'H': 'Rain Dish'}",1,22.5,Blue,['Blastoise'],"['Monster', 'Water 1']",NFE,Squirtle,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
blastoise,9,Blastoise,0009_blastoise,['Water'],,"{'M': 0.875, 'F': 0.125}",,,,,,,"{'hp': 79, 'atk': 83, 'def': 100, 'spa': 85, 'spd': 105, 'spe': 78}","{'0': 'Torrent', 'H': 'Rain Dish'}",1.6,85.5,Blue,,"['Monster', 'Water 1']",RUBL,Wartortle,36,['Blastoise-Mega'],"['Blastoise', 'Blastoise-Mega']",G-Max Cannonade,,,,,,,,,,,,,,,,,,,,,,,,,
blastoisemega,9,Blastoise-Mega,0009_blastoise-mega,['Water'],,"{'M': 0.875, 'F': 0.125}",,,,,,,"{'hp': 79, 'atk': 103, 'def': 120, 'spa': 135, 'spd': 115, 'spe': 78}",{'0': 'Mega Launcher'},1.6,101.1,Blue,,"['Monster', 'Water 1']",Illegal,,,,,,Blastoise,Mega,Blastoisinite,Past,,,,,,,,,,,,,,,,,,,,,
blastoisegmax,9,Blastoise-Gmax,0009_blastoise-gmax,['Water'],,"{'M': 0.875, 'F': 0.125}",,,,,,,"{'hp': 79, 'atk': 83, 'def': 100, 'spa': 85, 'spd': 105, 'spe': 78}","{'0': 'Torrent', 'H': 'Rain Dish'}",25,0,Blue,,"['Monster', 'Water 1']",Illegal,,,,,,Blastoise,Gmax,,Past,Blastoise,,,,,,,,,,,,,,,,,,,,
caterpie,10,Caterpie,0010_caterpie,['Bug'],,,,,,,,,"{'hp': 45, 'atk': 30, 'def': 35, 'spa': 20, 'spd': 20, 'spe': 45}","{'0': 'Shield Dust', 'H': 'Run Away'}",0.3,2.9,Green,['Metapod'],['Bug'],Illegal,,,,,,,,,Past,,,,,,,,,,,,,,,,,,,,,
metapod,11,Metapod,0011_metapod,['Bug'],,,,,,,,,"{'hp': 50, 'atk': 20, 'def': 55, 'spa': 25, 'spd': 25, 'spe': 30}",{'0': 'Shed Skin'},0.7,9.9,Green,['Butterfree'],['Bug'],Illegal,Caterpie,7,,,,,,,Past,,,,,,,,,,,,,,,,,,,,,
butterfree,12,Butterfree,0012_butterfree,"['Bug', 'Flying']",,,,,,,,,"{'hp': 60, 'atk': 45, 'def': 50, 'spa': 90, 'spd': 80, 'spe': 70}","{'0': 'Compound Eyes', 'H': 'Tinted Lens'}",1.1,32,White,,['Bug'],Illegal,Metapod,10,,,G-Max Befuddle,,,,Past,,,,,,,,,,,,,,,,,,,,,
butterfreegmax,12,Butterfree-Gmax,0012_butterfree-gmax,"['Bug', 'Flying']",,,,,,,,,"{'hp': 60, 'atk': 45, 'def': 50, 'spa': 90, 'spd': 80, 'spe': 70}","{'0': 'Compound Eyes', 'H': 'Tinted Lens'}",17,0,White,,['Bug'],Illegal,,,,,,Butterfree,Gmax,,Past,Butterfree,,,,,,,,,,,,,,,,,,,,
weedle,13,Weedle,0013_weedle,"['Bug', 'Poison']",,,,,,,,,"{'hp': 40, 'atk': 35, 'def': 30, 'spa': 20, 'spd': 20, 'spe': 50}","{'0': 'Shield Dust', 'H': 'Run Away'}",0.3,3.2,Brown,['Kakuna'],['Bug'],Illegal,,,,,,,,,Past,,,,,,,,,,,,,,,,,,,,,
kakuna,14,Kakuna,0014_kakuna,"['Bug', 'Poison']",,,,,,,,,"{'hp': 45, 'atk': 25, 'def': 50, 'spa': 25, 'spd': 25, 'spe': 35}",{'0': 'Shed Skin'},0.6,10,Yellow,['Beedrill'],['Bug'],Illegal,Weedle,7,,,,,,,Past,,,,,,,,,,,,,,,,,,,,,
beedrill,15,Beedrill,0015_beedrill,"['Bug', 'Poison']",,,,,,,,,"{'hp': 65, 'atk': 90, 'def': 40, 'spa': 45, 'spd': 80, 'spe': 75}","{'0': 'Swarm', 'H': 'Sniper'}",1,29.5,Yellow,,['Bug'],Illegal,Kakuna,10,['Beedrill-Mega'],"['Beedrill', 'Beedrill-Mega']",,,,,Past,,,,,,,,,,,,,,,,,,,,,
beedrillmega,15,Beedrill-Mega,0015_beedrill-mega,"['Bug', 'Poison']",,,,,,,,,"{'hp': 65, 'atk': 150, 'def': 40, 'spa': 15, 'spd': 80, 'spe': 145}",{'0': 'Adaptability'},1.4,40.5,Yellow,,['Bug'],Illegal,,,,,,Beedrill,Mega,Beedrillite,Past,,,,,,,,,,,,,,,,,,,,,
pidgey,16,Pidgey,0016_pidgey,"['Normal', 'Flying']",,,,,,,,,"{'hp': 40, 'atk': 45, 'def': 40, 'spa': 35, 'spd': 35, 'spe': 56}","{'0': 'Keen Eye', '1': 'Tangled Feet', 'H': 'Big Pecks'}",0.3,1.8,Brown,['Pidgeotto'],['Flying'],Illegal,,,,,,,,,Past,,,,,,,,,,,,,,,,,,,,,
pidgeotto,17,Pidgeotto,0017_pidgeotto,"['Normal', 'Flying']",,,,,,,,,"{'hp': 63, 'atk': 60, 'def': 55, 'spa': 50, 'spd': 50, 'spe': 71}","{'0': 'Keen Eye', '1': 'Tangled Feet', 'H': 'Big Pecks'}",1.1,30,Brown,['Pidgeot'],['Flying'],Illegal,Pidgey,18,,,,,,,Past,,,,,,,,,,,,,,,,,,,,,
pidgeot,18,Pidgeot,0018_pidgeot,"['Normal', 'Flying']",,,,,,,,,"{'hp': 83, 'atk': 80, 'def': 75, 'spa': 70, 'spd': 70, 'spe': 101}","{'0': 'Keen Eye', '1': 'Tangled Feet', 'H': 'Big Pecks'}",1.5,39.5,Brown,,['Flying'],Illegal,Pidgeotto,36,['Pidgeot-Mega'],"['Pidgeot', 'Pidgeot-Mega']",,,,,Past,,,,,,,,,,,,,,,,,,,,,
pidgeotmega,18,Pidgeot-Mega,0018_pidgeot-mega,"['Normal', 'Flying']",,,,,,,,,"{'hp': 83, 'atk': 80, 'def': 80, 'spa': 135, 'spd': 80, 'spe': 121}",{'0': 'No Guard'},2.2,50.5,Brown,,['Flying'],Illegal,,,,,,Pidgeot,Mega,Pidgeotite,Past,,,,,,,,,,,,,,,,,,,,,
rattata,19,Rattata,0019_rattata,['Normal'],,,,,,,,,"{'hp': 30, 'atk': 56, 'def': 35, 'spa': 25, 'spd': 35, 'spe': 72}","{'0': 'Run Away', '1': 'Guts', 'H': 'Hustle'}",0.3,3.5,Purple,['Raticate'],['Field'],Illegal,,,['Rattata-Alola'],"['Rattata', 'Rattata-Alola']",,,,,Past,,,,,,,,,,,,,,,,,,,,,
rattataalola,19,Rattata-Alola,0019_rattata-alola,"['Dark', 'Normal']",,,,,,,,,"{'hp': 30, 'atk': 56, 'def': 35, 'spa': 25, 'spd': 35, 'spe': 72}","{'0': 'Gluttony', '1': 'Hustle', 'H': 'Thick Fat'}",0.3,3.8,Black,['Raticate-Alola'],['Field'],Illegal,,,,,,Rattata,Alola,,Past,,,,,,,,,,,,,,,,,,,,,
raticate,20,Raticate,0020_raticate,['Normal'],,,,,,,,,"{'hp': 55, 'atk': 81, 'def': 60, 'spa': 50, 'spd': 70, 'spe': 97}","{'0': 'Run Away', '1': 'Guts', 'H': 'Hustle'}",0.7,18.5,Brown,,['Field'],Illegal,Rattata,20,"['Raticate-Alola', 'Raticate-Alola-Totem']","['Raticate', 'Raticate-Alola', 'Raticate-Alola-Totem']",,,,,Past,,,,,,,,,,,,,,,,,,,,,
raticatealola,20,Raticate-Alola,0020_raticate-alola,"['Dark', 'Normal']",,,,,,,,,"{'hp': 75, 'atk': 71, 'def': 70, 'spa': 40, 'spd': 80, 'spe': 77}","{'0': 'Gluttony', '1': 'Hustle', 'H': 'Thick Fat'}",0.7,25.5,Black,,['Field'],Illegal,Rattata-Alola,20,,,,Raticate,Alola,,Past,,at night,,,,,,,,,,,,,,,,,,,
raticatealolatotem,20,Raticate-Alola-Totem,0020_raticate-alola-totem,"['Dark', 'Normal']",,,,,,,,,"{'hp': 75, 'atk': 71, 'def': 70, 'spa': 40, 'spd': 80, 'spe': 77}",{'0': 'Thick Fat'},1.4,105,Black,,['Field'],Illegal,,,,,,Raticate,Alola-Totem,,Past,,,,,,,,,,,,,,,,,,,,,
spearow,21,Spearow,0021_spearow,"['Normal', 'Flying']",,,,,,,,,"{'hp': 40, 'atk': 60, 'def': 30, 'spa': 31, 'spd': 31, 'spe': 70}","{'0': 'Keen Eye', 'H': 'Sniper'}",0.3,2,Brown,['Fearow'],['Flying'],Illegal,,,,,,,,,Past,,,,,,,,,,,,,,,,,,,,,
fearow,22,Fearow,0022_fearow,"['Normal', 'Flying']",,,,,,,,,"{'hp': 65, 'atk': 90, 'def': 65, 'spa': 61, 'spd': 61, 'spe': 100}","{'0': 'Keen Eye', 'H': 'Sniper'}",1.2,38,Brown,,['Flying'],Illegal,Spearow,20,,,,,,,Past,,,,,,,,,,,,,,,,,,,,,
ekans,23,Ekans,0023_ekans,['Poison'],,,,,,,,,"{'hp': 35, 'atk': 60, 'def': 44, 'spa': 40, 'spd': 54, 'spe': 55}","{'0': 'Intimidate', '1': 'Shed Skin', 'H': 'Unnerve'}",2,6.9,Purple,['Arbok'],"['Field', 'Dragon']",LC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
arbok,24,Arbok,0024_arbok,['Poison'],,,,,,,,,"{'hp': 60, 'atk': 95, 'def': 69, 'spa': 65, 'spd': 79, 'spe': 80}","{'0': 'Intimidate', '1': 'Shed Skin', 'H': 'Unnerve'}",3.5,65,Purple,,"['Field', 'Dragon']",ZU,Ekans,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pikachu,25,Pikachu,0025_pikachu,['Electric'],,,,,,,,,"{'hp': 35, 'atk': 55, 'def': 40, 'spa': 50, 'spd': 50, 'spe': 90}","{'0': 'Static', 'H': 'Lightning Rod'}",0.4,6,Yellow,"['Raichu', 'Raichu-Alola']","['Field', 'Fairy']",ZU,Pichu,,"['Pikachu-Cosplay', 'Pikachu-Rock-Star', 'Pikachu-Belle', 'Pikachu-Pop-Star', 'Pikachu-PhD', 'Pikachu-Libre', 'Pikachu-Original', 'Pikachu-Hoenn', 'Pikachu-Sinnoh', 'Pikachu-Unova', 'Pikachu-Kalos', 'Pikachu-Alola', 'Pikachu-Partner', 'Pikachu-Starter', 'Pikachu-World']","['Pikachu', 'Pikachu-Original', 'Pikachu-Hoenn', 'Pikachu-Sinnoh', 'Pikachu-Unova', 'Pikachu-Kalos', 'Pikachu-Alola', 'Pikachu-Partner', 'Pikachu-Starter', 'Pikachu-World', 'Pikachu-Rock-Star', 'Pikachu-Belle', 'Pikachu-Pop-Star', 'Pikachu-PhD', 'Pikachu-Libre', 'Pikachu-Cosplay']",G-Max Volt Crash,,,,,,,levelFriendship,,,,,,,,,,,,,,,,,,
pikachucosplay,25,Pikachu-Cosplay,0025_pikachu-cosplay,['Electric'],,,,,,,,,"{'hp': 35, 'atk': 55, 'def': 40, 'spa': 50, 'spd': 50, 'spe': 90}",{'0': 'Lightning Rod'},0.4,6,Yellow,,['Undiscovered'],Illegal,,,,,,Pikachu,Cosplay,,Past,,,,F,6,,,,,,,,,,,,,,,,
pikachurockstar,25,Pikachu-Rock-Star,0025_pikachu-rock-star,['Electric'],,,,,,,,,"{'hp': 35, 'atk': 55, 'def': 40, 'spa': 50, 'spd': 50, 'spe': 90}",{'0': 'Lightning Rod'},0.4,6,Yellow,,['Undiscovered'],Illegal,,,,,,Pikachu,Rock-Star,,Past,Pikachu-Cosplay,,,F,6,,,,,,,,,,,,,,,,
pikachubelle,25,Pikachu-Belle,0025_pikachu-belle,['Electric'],,,,,,,,,"{'hp': 35, 'atk': 55, 'def': 40, 'spa': 50, 'spd': 50, 'spe': 90}",{'0': 'Lightning Rod'},0.4,6,Yellow,,['Undiscovered'],Illegal,,,,,,Pikachu,Belle,,Past,Pikachu-Cosplay,,,F,6,,,,,,,,,,,,,,,,
pikachupopstar,25,Pikachu-Pop-Star,0025_pikachu-pop-star,['Electric'],,,,,,,,,"{'hp': 35, 'atk': 55, 'def': 40, 'spa': 50, 'spd': 50, 'spe': 90}",{'0': 'Lightning Rod'},0.4,6,Yellow,,['Undiscovered'],Illegal,,,,,,Pikachu,Pop-Star,,Past,Pikachu-Cosplay,,,F,6,,,,,,,,,,,,,,,,
pikachuphd,25,Pikachu-PhD,0025_pikachu-phd,['Electric'],,,,,,,,,"{'hp': 35, 'atk': 55, 'def': 40, 'spa': 50, 'spd': 50, 'spe': 90}",{'0': 'Lightning Rod'},0.4,6,Yellow,,['Undiscovered'],Illegal,,,,,,Pikachu,PhD,,Past,Pikachu-Cosplay,,,F,6,,,,,,,,,,,,,,,,
pikachulibre,25,Pikachu-Libre,0025_pikachu-libre,['Electric'],,,,,,,,,"{'hp': 35, 'atk': 55, 'def': 40, 'spa': 50, 'spd': 50, 'spe': 90}",{'0': 'Lightning Rod'},0.4,6,Yellow,,['Undiscovered'],Illegal,,,,,,Pikachu,Libre,,Past,Pikachu-Cosplay,,,F,6,,,,,,,,,,,,,,,,
pikachuoriginal,25,Pikachu-Original,0025_pikachu-original,['Electric'],,,,,,,,,"{'hp': 35, 'atk': 55, 'def': 40, 'spa': 50, 'spd': 50, 'spe': 90}","{'0': 'Static', 'H': 'Lightning Rod'}",0.4,6,Yellow,,['Undiscovered'],ZU,,,,,,Pikachu,Original,,,,,,M,7,,,,,,,,,,,,,,,,
pikachuhoenn,25,Pikachu-Hoenn,0025_pikachu-hoenn,['Electric'],,,,,,,,,"{'hp': 35, 'atk': 55, 'def': 40, 'spa': 50, 'spd': 50, 'spe': 90}","{'0': 'Static', 'H': 'Lightning Rod'}",0.4,6,Yellow,,['Undiscovered'],ZU,,,,,,Pikachu,Hoenn,,,,,,M,7,,,,,,,,,,,,,,,,
pikachusinnoh,25,Pikachu-Sinnoh,0025_pikachu-sinnoh,['Electric'],,,,,,,,,"{'hp': 35, 'atk': 55, 'def': 40, 'spa': 50, 'spd': 50, 'spe': 90}","{'0': 'Static', 'H': 'Lightning Rod'}",0.4,6,Yellow,,['Undiscovered'],ZU,,,,,,Pikachu,Sinnoh,,,,,,M,7,,,,,,,,,,,,,,,,
pikachuunova,25,Pikachu-Unova,0025_pikachu-unova,['Electric'],,,,,,,,,"{'hp': 35, 'atk': 55, 'def': 40, 'spa': 50, 'spd': 50, 'spe': 90}","{'0': 'Static', 'H': 'Lightning Rod'}",0.4,6,Yellow,,['Undiscovered'],ZU,,,,,,Pikachu,Unova,,,,,,M,7,,,,,,,,,,,,,,,,
pikachukalos,25,Pikachu-Kalos,0025_pikachu-kalos,['Electric'],,,,,,,,,"{'hp': 35, 'atk': 55, 'def': 40, 'spa': 50, 'spd': 50, 'spe': 90}","{'0': 'Static', 'H': 'Lightning Rod'}",0.4,6,Yellow,,['Undiscovered'],ZU,,,,,,Pikachu,Kalos,,,,,,M,7,,,,,,,,,,,,,,,,
pikachualola,25,Pikachu-Alola,0025_pikachu-alola,['Electric'],,,,,,,,,"{'hp': 35, 'atk': 55, 'def': 40, 'spa': 50, 'spd': 50, 'spe': 90}","{'0': 'Static', 'H': 'Lightning Rod'}",0.4,6,Yellow,,['Undiscovered'],ZU,,,,,,Pikachu,Alola,,,,,,M,7,,,,,,,,,,,,,,,,
pikachupartner,25,Pikachu-Partner,0025_pikachu-partner,['Electric'],,,,,,,,,"{'hp': 35, 'atk': 55, 'def': 40, 'spa': 50, 'spd': 50, 'spe': 90}","{'0': 'Static', 'H': 'Lightning Rod'}",0.4,6,Yellow,,['Undiscovered'],ZU,,,,,,Pikachu,Partner,,,,,,M,7,,,,,,,,,,,,,,,,
pikachustarter,25,Pikachu-Starter,0025_pikachu-starter,['Electric'],,,,,,,,,"{'hp': 45, 'atk': 80, 'def': 50, 'spa': 75, 'spd': 60, 'spe': 120}","{'0': 'Static', 'H': 'Lightning Rod'}",0.4,6,Yellow,,['Undiscovered'],Illegal,,,,,,Pikachu,Starter,,LGPE,,,,,,,,,,,,,,,,,,,,,
pikachugmax,25,Pikachu-Gmax,0025_pikachu-gmax,['Electric'],,,,,,,,,"{'hp': 35, 'atk': 55, 'def': 40, 'spa': 50, 'spd': 50, 'spe': 90}","{'0': 'Static', 'H': 'Lightning Rod'}",21,0,Yellow,,"['Field', 'Fairy']",Illegal,,,,,,Pikachu,Gmax,,Past,Pikachu,,,,,,,,,,,,,,,,,,,,
pikachuworld,25,Pikachu-World,0025_pikachu-world,['Electric'],,,,,,,,,"{'hp': 35, 'atk': 55, 'def': 40, 'spa': 50, 'spd': 50, 'spe': 90}","{'0': 'Static', 'H': 'Lightning Rod'}",0.4,6,Yellow,,['Undiscovered'],ZU,,,,,,Pikachu,World,,,,,,M,8,,,,,,,,,,,,,,,,
raichu,26,Raichu,0026_raichu,['Electric'],,,,,,,,,"{'hp': 60, 'atk': 90, 'def': 55, 'spa': 90, 'spd': 80, 'spe': 110}","{'0': 'Static', 'H': 'Lightning Rod'}",0.8,30,Yellow,,"['Field', 'Fairy']",ZU,Pikachu,,"['Raichu-Alola', 'Raichu-Mega-X', 'Raichu-Mega-Y']","['Raichu', 'Raichu-Alola', 'Raichu-Mega-X', 'Raichu-Mega-Y']",,,,,,,,useItem,,,Thunder Stone,,,,,,,,,,,,,,,
raichualola,26,Raichu-Alola,0026_raichu-alola,"['Electric', 'Psychic']",,,,,,,,,"{'hp': 60, 'atk': 85, 'def': 50, 'spa': 95, 'spd': 85, 'spe': 110}",{'0': 'Surge Surfer'},0.7,21,Brown,,"['Field', 'Fairy']",ZU,Pikachu,,,,,Raichu,Alola,,,,,useItem,,,Thunder Stone,Alola,,,,,,,,,,,,,,
raichumegax,26,Raichu-Mega-X,0026_raichu-mega-x,['Electric'],,,,,,,,,"{'hp': 60, 'atk': 135, 'def': 95, 'spa': 90, 'spd': 95, 'spe': 110}",{'0': 'Surge Surfer'},1.2,38,Yellow,,"['Field', 'Fairy']",Illegal,,,,,,Raichu,Mega-X,Raichunite X,Future,,,,,9,,,,,,,,,,,,,,,,
raichumegay,26,Raichu-Mega-Y,0026_raichu-mega-y,['Electric'],,,,,,,,,"{'hp': 60, 'atk': 100, 'def': 55, 'spa': 160, 'spd': 80, 'spe': 130}",{'0': 'Surge Surfer'},1,26,Yellow,,"['Field', 'Fairy']",Illegal,,,,,,Raichu,Mega-Y,Raichunite Y,Future,,,,,9,,,,,,,,,,,,,,,,
sandshrew,27,Sandshrew,0027_sandshrew,['Ground'],,,,,,,,,"{'hp': 50, 'atk': 75, 'def': 85, 'spa': 20, 'spd': 30, 'spe': 40}","{'0': 'Sand Veil', 'H': 'Sand Rush'}",0.6,12,Yellow,['Sandslash'],['Field'],LC,,,['Sandshrew-Alola'],"['Sandshrew', 'Sandshrew-Alola']",,,,,,,,,,,,,,,,,,,,,,,,,,
sandshrewalola,27,Sandshrew-Alola,0027_sandshrew-alola,"['Ice', 'Steel']",,,,,,,,,"{'hp': 50, 'atk': 75, 'def': 90, 'spa': 10, 'spd': 35, 'spe': 40}","{'0': 'Snow Cloak', 'H': 'Slush Rush'}",0.7,40,White,['Sandslash-Alola'],['Field'],LC,,,,,,Sandshrew,Alola,,,,,,,,,,,,,,,,,,,,,,,
sandslash,28,Sandslash,0028_sandslash,['Ground'],,,,,,,,,"{'hp': 75, 'atk': 100, 'def': 110, 'spa': 45, 'spd': 55, 'spe': 65}","{'0': 'Sand Veil', 'H': 'Sand Rush'}",1,29.5,Yellow,,['Field'],ZU,Sandshrew,22,['Sandslash-Alola'],"['Sandslash', 'Sandslash-Alola']",,,,,,,,,,,,,,,,,,,,,,,,,,
sandslashalola,28,Sandslash-Alola,0028_sandslash-alola,"['Ice', 'Steel']",,,,,,,,,"{'hp': 75, 'atk': 100, 'def': 120, 'spa': 25, 'spd': 65, 'spe': 65}","{'0': 'Snow Cloak', 'H': 'Slush Rush'}",1.2,55,Blue,,['Field'],PU,Sandshrew-Alola,,,,,Sandslash,Alola,,,,,useItem,,,Ice Stone,,,,,,,,,,,,,,,
nidoranf,29,Nidoran-F,0029_nidoran-f,['Poison'],,,,,,,,,"{'hp': 55, 'atk': 47, 'def': 52, 'spa': 40, 'spd': 40, 'spe': 41}","{'0': 'Poison Point', '1': 'Rivalry', 'H': 'Hustle'}",0.4,7,Blue,['Nidorina'],"['Monster', 'Field']",Illegal,,,,,,,,,Past,,,,F,,,,,,,,,,,,,,,,,
nidorina,30,Nidorina,0030_nidorina,['Poison'],,,,,,,,,"{'hp': 70, 'atk': 62, 'def': 67, 'spa': 55, 'spd': 55, 'spe': 56}","{'0': 'Poison Point', '1': 'Rivalry', 'H': 'Hustle'}",0.8,20,Blue,['Nidoqueen'],['Undiscovered'],Illegal,Nidoran-F,16,,,,,,,Past,,,,F,,,,,,,,,,,,,,,,,
nidoqueen,31,Nidoqueen,0031_nidoqueen,"['Poison', 'Ground']",,,,,,,,,"{'hp': 90, 'atk': 92, 'def': 87, 'spa': 75, 'spd': 85, 'spe': 76}","{'0': 'Poison Point', '1': 'Rivalry', 'H': 'Sheer Force'}",1.3,60,Blue,,['Undiscovered'],Illegal,Nidorina,,,,,,,,Past,,,useItem,F,,Moon Stone,,,,,,,,,,,,,,,
